transaction_id,customer_id,kyc_verified,account_age_days,transaction_amount,channel,timestamp,is_fraud,timestamp_utc,hour,minute,weekday,month,is_high_value,amount_log,account_age_bucket
TXN_201022,CUST_566,1,2348,7507,Web,2025-08-09 13:14:11,0,2025-08-09 13:14:11+00:00,13,14,5,8,0,8.9237243977064,old
TXN_200504,CUST_386,0,1861,228746,Mobile,2025-08-08 17:33:54,0,2025-08-08 17:33:54+00:00,17,33,4,8,1,12.34037186829767,established
TXN_202456,CUST_187,1,1325,10559,Web,2025-08-12 03:08:09,0,2025-08-12 03:08:09+00:00,3,8,1,8,0,9.264828557260252,recent
TXN_203471,CUST_760,1,1564,61178,Mobile,2025-08-16 04:44:04,0,2025-08-16 04:44:04+00:00,4,44,5,8,1,11.021559272360458,established
TXN_201595,CUST_554,1,1769,10300,ATM,2025-08-16 14:35:20,0,2025-08-16 14:35:20+00:00,14,35,5,8,0,9.239996256883693,established
TXN_204183,CUST_324,0,669,22467,POS,2025-08-21 09:26:36,0,2025-08-21 09:26:36+00:00,9,26,3,8,0,10.019847353652324,new
TXN_202411,CUST_546,1,869,5663,Mobile,2025-08-14 18:42:50,0,2025-08-14 18:42:50+00:00,18,42,3,8,0,8.641885635373555,recent
TXN_201500,CUST_462,0,1822,13109,POS,2025-08-15 04:42:00,0,2025-08-15 04:42:00+00:00,4,42,4,8,0,9.481130576757746,established
TXN_200010,CUST_526,1,1398,69506,Mobile,2025-08-23 03:36:52,0,2025-08-23 03:36:52+00:00,3,36,5,8,1,11.149182745905485,recent
TXN_203389,CUST_174,1,2084,61232,Mobile,2025-08-05 17:43:11,0,2025-08-05 17:43:11+00:00,17,43,1,8,1,11.022441538862152,established
TXN_201546,CUST_572,1,2843,7873,ATM,2025-08-20 23:43:50,0,2025-08-20 23:43:50+00:00,23,43,2,8,0,8.971321471503682,old
TXN_200520,CUST_145,1,1433,5507,POS,2025-08-19 16:07:00,0,2025-08-19 16:07:00+00:00,16,7,1,8,0,8.613956859848546,recent
TXN_201107,CUST_236,0,1955,10284,ATM,2025-08-09 13:43:08,1,2025-08-09 13:43:08+00:00,13,43,5,8,0,9.238441802087058,established
TXN_201352,CUST_795,1,2508,4363,Web,2025-08-09 10:40:25,0,2025-08-09 10:40:25+00:00,10,40,5,8,0,8.381144346952961,old
TXN_200753,CUST_613,1,2772,5561,Mobile,2025-08-13 09:29:41,0,2025-08-13 09:29:41+00:00,9,29,2,8,0,8.62371303479391,old
TXN_200875,CUST_608,1,1247,7633,Web,2025-08-19 14:24:48,0,2025-08-19 14:24:48+00:00,14,24,1,8,0,8.940367233305174,recent
TXN_204433,CUST_722,1,2331,3533,Mobile,2025-08-25 23:04:53,0,2025-08-25 23:04:53+00:00,23,4,0,8,0,8.170185652879642,old
TXN_203978,CUST_759,1,1150,9880,Mobile,2025-08-16 07:27:44,0,2025-08-16 07:27:44+00:00,7,27,5,8,0,9.198369000194964,recent
TXN_204382,CUST_697,1,2163,140210,POS,2025-08-22 05:11:16,0,2025-08-22 05:11:16+00:00,5,11,4,8,1,11.850903709848648,established
TXN_201079,CUST_289,1,2360,11333,Web,2025-08-16 20:33:27,0,2025-08-16 20:33:27+00:00,20,33,5,8,0,9.335562336729565,old
TXN_202443,CUST_723,1,1244,3111,Web,2025-08-12 10:07:28,0,2025-08-12 10:07:28+00:00,10,7,1,8,0,8.043020885298283,recent
TXN_202892,CUST_104,1,183,3898,Mobile,2025-08-22 13:27:13,0,2025-08-22 13:27:13+00:00,13,27,4,8,0,8.268475388982598,new
TXN_203757,CUST_155,1,2799,3753,ATM,2025-08-10 14:04:12,0,2025-08-10 14:04:12+00:00,14,4,6,8,0,8.230577217146454,old
TXN_200653,CUST_299,1,2661,3082,POS,2025-08-15 11:06:51,0,2025-08-15 11:06:51+00:00,11,6,4,8,0,8.03365842788615,old
TXN_201983,CUST_719,1,1614,7333,Web,2025-08-11 14:58:30,0,2025-08-11 14:58:30+00:00,14,58,0,8,0,8.900276348631271,established
TXN_204825,CUST_212,1,2216,3109,Mobile,2025-08-04 17:29:18,0,2025-08-04 17:29:18+00:00,17,29,0,8,0,8.04237800517328,established
TXN_204014,CUST_637,1,2455,8958,Mobile,2025-08-19 01:59:37,0,2025-08-19 01:59:37+00:00,1,59,1,8,0,9.100413892597578,old
TXN_200516,CUST_563,0,937,8954,Mobile,2025-08-18 01:38:55,0,2025-08-18 01:38:55+00:00,1,38,0,8,0,9.099967314494812,recent
TXN_201168,CUST_419,0,2928,7471,Mobile,2025-08-18 21:15:16,0,2025-08-18 21:15:16+00:00,21,15,0,8,0,8.918917979908679,old
TXN_202085,CUST_707,1,2904,13197,Mobile,2025-08-21 05:54:44,0,2025-08-21 05:54:44+00:00,5,54,3,8,0,9.487820581943367,old
TXN_204000,CUST_461,1,2390,12436,Mobile,2025-08-05 13:03:50,0,2025-08-05 13:03:50+00:00,13,3,1,8,0,9.42843117965374,old
TXN_202780,CUST_697,1,896,4408,Mobile,2025-08-13 20:01:00,0,2025-08-13 20:01:00+00:00,20,1,2,8,0,8.391403185357937,recent
TXN_202450,CUST_671,1,2902,11772,Mobile,2025-08-17 12:43:09,0,2025-08-17 12:43:09+00:00,12,43,6,8,0,9.373564053078196,old
TXN_203340,CUST_400,0,1628,98391,Web,2025-08-25 10:17:49,0,2025-08-25 10:17:49+00:00,10,17,0,8,1,11.496714778922248,established
TXN_204173,CUST_119,0,2773,8881,Web,2025-08-18 18:52:19,0,2025-08-18 18:52:19+00:00,18,52,0,8,0,9.091782035852049,old
TXN_200984,CUST_134,1,328,3925,Mobile,2025-08-01 07:54:44,0,2025-08-01 07:54:44+00:00,7,54,4,8,0,8.275376374836407,new
TXN_204349,CUST_504,1,415,5079,POS,2025-08-18 15:33:40,0,2025-08-18 15:33:40+00:00,15,33,0,8,0,8.533066540572527,new
TXN_200274,CUST_223,1,203,15349,ATM,2025-08-17 08:56:55,0,2025-08-17 08:56:55+00:00,8,56,6,8,0,9.638870753015343,new
TXN_203010,CUST_278,1,1180,9179,Mobile,2025-08-16 14:16:47,0,2025-08-16 14:16:47+00:00,14,16,5,8,0,9.124782483614537,recent
TXN_202996,CUST_564,0,2485,3824,Mobile,2025-08-18 09:27:51,0,2025-08-18 09:27:51+00:00,9,27,0,8,0,8.249313746260636,old
